census;quad;slack_weight;AIC;RMSE;MAE;entropy
1;_quadrat_0;0,0001;621,7417787244391;34,174006863375546;9,27450980392157;4,158935487206831
1;_quadrat_0;0,0002;621,741845525323;34,174006863375546;9,27450980392157;4,158935241454182
1;_quadrat_0;0,0003;621,741866330694;34,174006863375546;9,27450980392157;4,158935168421278
1;_quadrat_0;0,0004;621,7418451583944;34,174006863375546;9,27450980392157;4,158935225883533
1;_quadrat_0;0,0005;621,7256730146495;34,174006863375546;9,27450980392157;4,158988507546395
1;_quadrat_0;0,0006;621,7418733684497;34,174006863375546;9,27450980392157;4,158935146558893
1;_quadrat_0;0,0007;621,7433325392869;34,174006863375546;9,27450980392157;4,1589302928613066
1;_quadrat_0;0,0008;621,7418628078952;34,174006863375546;9,27450980392157;4,158935188439368
1;_quadrat_0;0,0009;621,7418693089586;34,174006863375546;9,27450980392157;4,15893516822368
1;_quadrat_0;0,001;621,741889217316;34,174006863375546;9,27450980392157;4,158935093625304
1;_quadrat_0;0,002;621,7244344406121;34,174006863375546;9,27450980392157;4,158992479117124
1;_quadrat_0;0,003;621,9508617863054;34,174006863375546;9,27450980392157;4,158249847521235
1;_quadrat_0;0,004;621,7418640731152;34,174006863375546;9,27450980392157;4,15893518449374
1;_quadrat_0;0,005;621,7418874934789;34,174006863375546;9,27450980392157;4,158935105557321
1;_quadrat_0;0,006;621,7418462837142;34,174006863375546;9,27450980392157;4,15893524120979
1;_quadrat_0;0,007;621,7418702508481;34,174006863375546;9,27450980392157;4,158935165394681
1;_quadrat_0;0,008;621,7418174408738;34,174006863375546;9,27450980392157;4,1589353604625945
1;_quadrat_0;0,009;621,9969934572058;34,174006863375546;9,27450980392157;4,158100264725644
1;_quadrat_0;0,01;621,7418956196101;34,174006863375546;9,27450980392157;4,158935067695022
1;_quadrat_0;0,02;621,7418594970076;34,174006863375546;9,27450980392157;4,158935188228788
1;_quadrat_0;0,03;621,7418719708699;34,174006863375546;9,27450980392157;4,158935148942079
1;_quadrat_0;0,04;621,741881708595;34,174006863375546;9,27450980392157;4,158935121823784
1;_quadrat_0;0,05;621,7433538663125;34,174006863375546;9,27450980392157;4,158930280467557
1;_quadrat_0;0,06;621,741852516833;34,174006863375546;9,27450980392157;4,158935218547279
1;_quadrat_0;0,07;621,9501640446983;34,174006863375546;9,27450980392157;4,158248773192359
1;_quadrat_0;0,08;621,7418555543585;34,174006863375546;9,27450980392157;4,158935215501767
1;_quadrat_0;0,09;621,7418677420682;34,174006863375546;9,27450980392157;4,15893517282776
1;_quadrat_0;0,1;621,741868758125;34,174006863375546;9,27450980392157;4,158935173087776
1;_quadrat_0;0,2;621,74192348886;34,174006863375546;9,27450980392157;4,158934957581264
1;_quadrat_0;0,3;403,5382200512062;2,137434782860144;1,1176470588235294;6,622625467049054
1;_quadrat_0;0,4;403,5382194702094;2,137434782860144;1,1176470588235294;6,622625466711308
1;_quadrat_0;0,5;403,5382196299103;2,137434782860144;1,1176470588235294;6,622625466744097
1;_quadrat_0;0,6000000000000001;403,5382184608951;2,137434782860144;1,1176470588235294;6,622625465152792
1;_quadrat_0;0,7000000000000001;403,5382185327228;2,137434782860144;1,1176470588235294;6,6226254660378965
1;_quadrat_0;0,8;403,5382194465581;2,137434782860144;1,1176470588235294;6,622625466628652
1;_quadrat_0;0,9;403,5382185398129;2,137434782860144;1,1176470588235294;6,622625465684277
1;_quadrat_0;1,0;403,53821853354106;2,137434782860144;1,1176470588235294;6,622625465102993
1;_quadrat_0;2,0;403,5382186136708;2,137434782860144;1,1176470588235294;6,622625466871146
1;_quadrat_0;3,0;403,538218722803;2,137434782860144;1,1176470588235294;6,6226254668622575
1;_quadrat_0;4,0;403,53821956325305;2,137434782860144;1,1176470588235294;6,622625466765756
1;_quadrat_0;5,0;403,5382186681918;2,137434782860144;1,1176470588235294;6,622625466458897
1;_quadrat_0;6,0;403,53822062171326;2,137434782860144;1,1176470588235294;6,622625468958681
1;_quadrat_0;7,0;403,5382186654561;2,137434782860144;1,1176470588235294;6,622625465439121
1;_quadrat_0;8,0;403,5382204787514;2,137434782860144;1,1176470588235294;6,622625468657104
1;_quadrat_0;9,0;403,5382186179237;2,137434782860144;1,1176470588235294;6,6226254656591
1;_quadrat_0;10,0;403,53821861102114;2,137434782860144;1,1176470588235294;6,622625464819464
