model,var,AIC_mete,MAE_mete,entropy_mete,AIC_metime,MAE_metime,entropy_metime,N/S,dN/S,r^2_transition
a,0.0,86.28501637468614,2.1519826946068803,3.475117282193181,88.31290423968483,2.1519826946068803,3.4411743724604813,12.386653568793138,4.053320235459805,0.9621815559886012
a,0.0,112.75242128886563,6.271339512089046,4.548007392535725,134.5912395779888,13.839692357686303,3.9795036513241744,35.24540101954209,5.570009727248338,0.9621815559886012
a,0.0,120.01781842379454,8.488995144626182,4.842847744965236,158.7910269941575,20.246101480708734,4.050957016331035,47.15930602256939,1.5912142939419975,0.9621815559886012
a,0.0,121.19917652031357,8.985000949643158,4.8923275212122705,127.59018776314903,14.533363284909298,4.5348771399680325,49.52597836289052,0.2522555823608836,0.9621815559886012
a,0.0,121.36348099500852,9.219595456691133,4.9000270431691755,122.38172250633944,9.39099699821258,4.72371074725137,49.904902059220255,0.03805623350950782,0.9621815559886012
a,0.0,109.2281956569638,4.543199533383672,3.5659029636519524,112.23387180003539,4.543199533383671,3.5332515947957637,13.515754332798501,4.424948810936798,0.9659506289395513
a,0.0,135.20478074698278,14.002112258340764,4.636985118119736,191.227298618513,55.46092578283271,3.0197034476352864,38.478817217658126,6.079261658023091,0.9659506289395513
a,0.0,142.26335452356284,18.911549182586338,4.930755532139529,134.62217316281374,38.88113365168166,4.617083125818046,51.4470500701113,1.7263854521438693,0.9659506289395513
a,0.0,143.466063654289,19.58729890423279,4.979924017828095,141.93798400183755,20.67063223756612,4.978209773118126,54.01455604587618,0.27490881014345675,0.9659506289395513
a,0.0,143.64664978239992,19.50126685365013,4.987665596050334,150.84600657939666,16.547908162128312,4.977447602475366,54.43044826273817,0.04197890959174153,0.9659506289395513
a,0.0,86.28552886701705,4.554556213967364,3.4755730920219943,87.78499024994692,4.304556213967364,3.4374545754395163,12.392069923499946,4.058736590166613,0.9730675419823581
a,0.0,112.86821113220988,14.251142037712908,4.5501448575248435,116.43807877064928,16.273699444752925,4.524425114141537,35.319741884845264,5.588441811444412,0.9730675419823581
a,0.0,119.97537025593121,19.67257754517856,4.844364835201434,117.60133603851587,12.589244211845225,4.794918303763277,47.230142630082746,1.581361830629722,0.9730675419823581
a,0.0,121.1177788123915,20.209690375920083,4.892945813916375,111.29757748710334,5.2300148717242925,4.546858062552226,49.556301107921286,0.2436109509268931,0.9730675419823581
a,0.0,121.36353626108422,20.32913197434316,4.900257216953979,110.58295530296185,4.800015851062529,4.460929885679072,49.91627545671263,0.03531672773250231,0.9730675419823581
a,0.0,111.53369938914591,3.5173543154281237,3.475257372966682,115.62805019392044,3.336365785188514,3.439292036000912,12.38831799406852,4.054984660735187,0.9623814496638716
a,0.0,137.15347418443093,10.325210016241924,4.548224389013488,130.22678061799053,39.26490437305673,4.0791836299377024,35.25293618389194,5.567318546084214,0.9623814496638716
a,0.0,144.20402749373383,13.036178285520341,4.842362020425816,135.44861376300665,16.70665618413324,4.802238704350595,47.13664731565664,1.5843457015188847,0.9623814496638716
a,0.0,145.4021367230963,13.166655730073083,4.891808093479694,150.67302515587295,10.749989063406417,4.8784098879897835,49.50051872260377,0.2547579912249584,0.9623814496638716
a,0.0,145.5783063391967,12.865389909846092,4.899714606007413,149.8253899644325,8.948723243179428,4.861727123435361,49.889468037136986,0.04021750340006255,0.9623814496638716
a,0.0,86.62222190372542,3.7888429643174732,3.4757648482596437,88.56802080756889,3.7888429643174732,3.440260369040301,12.394349287550078,4.061015954216745,0.9767994512759228
a,0.0,112.86854583491386,12.302799058170644,4.551101184308816,214.22307606840525,55.33370076093303,2.7824917600045613,35.3530514488152,5.597163347744076,0.9767994512759228
a,0.0,120.06112978047736,16.447101721619475,4.845123532166342,126.2913237943546,25.55064523932454,4.648945822556968,47.265605632227334,1.577585111215522,0.9767994512759228
a,0.0,121.15864455506231,16.919047902385067,4.893298601604043,122.41790894648658,15.335714569051733,4.890572610455659,49.57361117905924,0.23955929392567063,0.9767994512759228
a,0.0,121.4040389572823,17.21712999817797,4.900400046453203,119.3317822913889,9.952265203689961,4.8404061899405555,49.923328788359925,0.03356413409963466,0.9767994512759228
a,0.0,86.28612532506355,3.9556024931762734,3.476098332615371,88.33384467902789,3.9556024931762734,3.441436095499326,12.398314384879463,4.0649810515461295,0.9860652400913404
a,0.0,112.86914610954881,12.362367968829664,4.552693371991478,106.43888230112016,4.294237001605733,4.225342777515987,35.40858799451292,5.611104260532443,0.9860652400913404
a,0.0,120.01868921942066,17.194956334111662,4.846288852920009,120.9949330114651,9.84613399794839,4.003441069013565,47.320135866111364,1.5704549759145248,0.9860652400913404
a,0.0,121.24025633879216,17.389801514422278,4.893795032751846,115.67654073091839,7.707458930415016,4.263510030053951,49.59797417649355,0.23313072494799295,0.9860652400913404
a,0.0,121.44453609023252,17.563877029182006,4.9005893495024715,114.16827086615724,5.804863298096644,4.4450005228837925,49.932685960715084,0.031218757284221965,0.9860652400913404
a,0.0,86.28610252718842,5.054417343541178,3.4760783585605446,88.08137159330543,4.887750676874511,3.4388161221574136,12.398076857989674,4.06474352465634,0.9871504027446986
a,0.0,112.92640954669663,15.429934690041073,4.5526066124263425,118.9017177549653,20.231997603672433,4.38456232047536,35.40555948389002,5.610421503012911,0.9871504027446986
a,0.0,120.01867420077735,21.050048880648806,4.846237398061322,122.20431273214962,21.216715547315474,4.846055097133262,47.31772673563632,1.5709445848919756,0.9871504027446986
a,0.0,121.19951872705886,21.425110272773946,4.893779052923845,113.60918351425532,8.156772718612448,4.683153201139187,49.59718958080154,0.23343985047874108,0.9871504027446986
a,0.0,121.40407740534401,21.45024070536172,4.9005849501256975,111.69971763719242,5.984035342981886,4.550774305589396,49.93246848119719,0.031281338028378514,0.9871504027446986
a,0.0,161.07357576576362,4.477284081455148,3.474541788925303,176.38031618189197,4.310617414788481,3.4368149426233647,12.379818554145922,4.046485220812589,0.9727700837061646
a,0.0,112.80890075053325,11.51951193250593,4.544407615177857,116.8001840635619,14.602845265839262,4.438464031729247,35.120556075159634,5.530282748583342,0.9727700837061646
a,0.0,119.8020147183,13.255645816143018,4.838926453812917,122.18405122375651,14.088979149476351,4.833989764464256,46.97670540110474,1.5953720326378213,0.9727700837061646
a,0.0,121.15784253877118,12.342081018998408,4.889997917601827,122.8238207956838,11.092081018998408,4.884150669578816,49.411907559380914,0.27244802134172613,0.9727700837061646
a,0.0,121.32270565708963,11.454074203029572,4.898912909171197,123.03996446191779,11.248949911190584,4.889548592701812,49.84988724532232,0.04927315964821825,0.9727700837061646
a,0.0,109.24507570315446,3.2686985743763155,3.5650462866853605,115.00491711257807,3.260774117611127,3.5288058805747835,13.50461284914049,4.419134624813151,0.9712454556941251
a,0.0,137.16819838081426,8.221663173455077,4.547609692931882,127.08995094703246,12.926855100281694,4.441793228750045,35.23158559936266,5.562259765286233,0.9712454556941251
a,0.0,144.1707382448622,10.118650798750599,4.841961828881436,143.36241523283178,10.785317465417265,4.841372870156846,47.11798693721798,1.5874224604755607,0.9712454556941251
a,0.0,145.40557011411641,9.972433669947076,4.891663699679968,149.61017190988593,5.615083978678058,4.849439273021379,49.49344912701182,0.2571237159462972,0.9712454556941251
a,0.0,145.53896282984817,9.572233402150466,4.8996666367581225,149.40907152481304,5.275751290436488,4.8384266509565474,49.88709884094336,0.04081682164036238,0.9712454556941251
a,0.0,86.6227236662508,4.315272302624614,3.4763886716698456,88.68388037732754,4.315272302624614,3.4410447776142985,12.401767566881206,4.068434233547873,0.994817267971417
a,0.0,112.92694205408289,13.324657878316321,4.554101913281613,105.17820749823065,4.682386253286695,4.254909496393187,35.457787341063785,5.623669643982974,0.994817267971417
a,0.0,120.10435505180394,18.416443952948146,4.847347465075301,117.880407906501,9.616275309151275,3.9772171282969655,47.36972240122906,1.5643633981955152,0.994817267971417
a,0.0,121.19964205615423,19.162451412222655,4.894258765899959,113.96368074884982,7.849733073454807,4.253733710338827,49.62074853846185,0.22730001292003976,0.994817267971417
a,0.0,121.32321608103652,19.334006497583097,4.900770927781639,113.37127052210887,7.5894963717321815,4.352843783032623,49.94166296678166,0.029033748424249477,0.994817267971417
a,0.0,111.17402368144454,3.6653378178260394,3.476225118713878,114.97404131530048,3.6478017931270674,3.4396003457191004,12.399822206927219,4.066488873593886,0.9906399431017111
a,0.0,112.9266569132423,10.452362287296364,4.553315347629501,130.29920931537316,45.77996239652517,3.843233456751384,35.43030168692723,5.616522978830564,0.9906399431017111
a,0.0,120.10422406854083,14.02435598291085,4.846765992242159,124.08586477469875,17.66010207841883,4.776929995275255,47.342476090881995,1.5677634469340564,0.9906399431017111
a,0.0,121.15885397814822,14.343072525634808,4.894014664195091,121.83823587649519,12.093072525634808,4.880577101752682,49.60875916135918,0.23086945527343042,0.9906399431017111
a,0.0,121.40409537658103,14.571633862588385,4.900670061174204,120.7349115264898,9.654967195921715,4.842196914765622,49.93667604476192,0.029765975427854603,0.9906399431017111
a,0.0,185.5877366696143,4.8967306503314605,3.4701909230557373,215.61855973037837,4.6467306503314605,3.4345926370663618,12.328275270788183,3.994941937454847,0.8831192899602894
a,0.0,112.27813820504079,14.784735447696827,4.524581207602495,115.5764455377341,17.09334450277292,4.483612030812644,34.440960854245034,5.367904717747076,0.8831192899602894
a,0.0,119.58162254372925,17.9538861981445,4.825542334781482,121.23599800747287,17.2038861981445,4.823886861523822,46.358821278661885,1.6915165579831637,0.8831192899602894
a,0.0,121.03384196850281,16.375073568709855,4.8849893157577755,121.84306568730369,12.774641464444285,4.8553973805958055,49.16754304702629,0.3480252420315158,0.8831192899602894
a,0.0,121.32232990383253,14.174850831614139,4.8973055044474725,122.2741171010326,10.934735215848223,4.861553665712862,49.770628653575166,0.07465879343566446,0.8831192899602894
a,0.0,86.28643279845697,4.310313414218519,3.4763669440433156,88.27162814833144,4.310313414218519,3.440617176855919,12.40150911202602,4.068175778692686,0.9936834672545947
a,0.0,112.92690354522266,13.006211336616557,4.553998000642581,114.06753296256943,12.172878003283223,4.554360069355673,35.4541549899314,5.622676375092619,0.9936834672545947
a,0.0,120.06166396971206,17.883354787166198,4.847271492948571,114.04978884340454,6.536965196350823,4.300778882467266,47.366161643642165,1.5648006994784491,0.9936834672545947
a,0.0,121.2810660381813,18.7417224496466,4.894228925864697,116.43784251087189,7.067475774913869,4.249888125828077,49.61928274863192,0.22785875583359902,0.9936834672545947
a,0.0,121.40411384461319,18.933772787362894,4.900756686272982,118.51187112134217,12.129075843062813,4.826290054606373,49.94095882520677,0.0289950486837256,0.9936834672545947
a,0.0,86.45331111247901,2.7445497968115014,3.475062143106133,88.58886505665957,2.9945497968115014,3.4413671741884686,12.385998522647554,4.052665189314223,0.9652486797694882
a,0.0,112.69455148063204,8.515271540249733,4.5473224519009525,150.77894765376772,12.65891131310343,3.5804482395788977,35.22161074518319,5.560089176843046,0.9652486797694882
a,0.0,119.9317775977255,11.646271027156095,4.841734187037008,133.35637421413713,13.80332270126569,4.125093486791115,47.107375647164645,1.58889885931481,0.9652486797694882
a,0.0,121.19901103108937,12.994311543033083,4.891541657198035,122.94068893467346,10.71529166514191,4.407717344067622,49.487470016588105,0.2574268143886134,0.9652486797694882
a,0.0,121.2823944909001,13.744277140855194,4.8996267846788015,119.45120199147726,7.913121681556237,4.581212815900984,49.88513063742405,0.042045154091169934,0.9652486797694882
a,0.0,86.45382877637768,4.255895976861026,3.475603879327517,88.1791036978915,4.0892293101943595,3.4385648250677696,12.392435855912852,4.059102522579522,0.9734955703017014
a,0.0,112.8107949297084,13.071722894432822,4.550202585699945,117.56004281226764,16.899023884164805,4.457138059612118,35.32175201426544,5.588093449639824,0.9734955703017014
a,0.0,119.9753462159487,17.862849450703568,4.844281548686605,120.7822095075897,15.779516117370234,4.838978660097193,47.22625069108073,1.5800156909250707,0.9734955703017014
a,0.0,121.19929280734685,18.614479875838835,4.89284882535544,113.31197349737226,5.957143598796253,4.6474596767880385,49.55154328585536,0.24393030169389363,0.9734955703017014
a,0.0,121.36352234305754,18.892574142021783,4.900199742301944,112.06053739008259,4.185425275194354,4.5492389185212145,49.91343526117098,0.035788247617375646,0.9734955703017014
a,0.0,86.45376868453343,4.389115594473976,3.4755413548745455,88.1189712711489,4.139115594473976,3.438157329455466,12.391692713242378,4.058359379909045,0.9716129023869525
a,0.0,112.86812933548015,13.770247883865906,4.549898954547596,117.07422244631631,16.29596852953353,4.489889133570303,35.31118069770596,5.585393251491392,0.9716129023869525
a,0.0,119.9324693475424,18.912911367641122,4.844050927750278,119.7911172147008,14.912911367641122,4.828571084124467,47.215475577764785,1.5812966312116146,0.9716129023869525
a,0.0,121.24004571061536,19.878393613578677,4.892746144746422,113.46927959825209,6.488942139450994,4.635281217484969,49.54650674081148,0.24517959105763984,0.9716129023869525
a,0.0,121.48493797299119,20.126985883314855,4.900159367333622,112.80474064699791,5.799673254457249,4.5542041571483205,49.91144016966532,0.036287627750832975,0.9716129023869525
a,0.0,86.28623607039077,4.955279861470596,3.4761952470616686,88.25368441105397,4.955279861470596,3.440957739403507,12.399466936739472,4.066133603406136,0.9893025126778133
a,0.0,112.98386019140902,15.136093696138966,4.553131883107034,118.58943594174225,19.7194270294723,4.419283410692088,35.4238938364753,5.614753361105675,0.9893025126778133
a,0.0,120.06147974908728,20.79886804628019,4.846575844533256,247.96530956696307,77.67493707398913,2.9284605511321544,47.333569701749646,1.5682143371749173,0.9893025126778133
a,0.0,121.15881993301444,21.708901086283944,4.893899796191857,130.48306065435872,43.47376724401705,4.54713280991799,49.60311828132192,0.23144266135149869,0.9893025126778133
a,0.0,121.36362961657383,22.024861720789573,4.900625368979843,125.81950992250133,26.12286197558252,4.837320719036287,49.934466589523,0.030808324725702125,0.9893025126778133
a,0.0,86.11747572003978,4.416802210923987,3.4757401462458866,88.03211343030853,4.416802210923987,3.440324047946439,12.394055635611863,4.060722302278529,0.975513205197912
a,0.0,112.86845237614924,13.769985492662146,4.550837971003927,182.60113235604305,54.554059007560774,3.047993871588248,35.343878918361945,5.593517796513396,0.975513205197912
a,0.0,119.9326944789787,18.028488374046468,4.8447269281420065,125.08484995500233,22.875704538101598,4.72648583252647,47.247066831707684,1.5770230576693887,0.975513205197912
a,0.0,121.15856971162009,18.066532544363234,4.893028952012403,120.4059742054607,13.822539693960211,4.869574557173719,49.560379856185044,0.2414326086745954,0.975513205197912
a,0.0,121.28259899879617,17.964173642258984,4.9002659109836655,116.40668020368217,7.529507377659782,4.777675557767984,49.916699599978166,0.03496495532929581,0.975513205197912
a,0.0,86.28587921562797,3.2961063334542833,3.4758822822600686,88.05851191155787,3.1294396667876168,3.4379226420012476,12.395745415654574,4.062412082321241,0.9867762402382161
a,0.0,112.98344188807833,10.116400519972878,4.551613911631297,117.82044281486338,14.414664197375075,4.441167610328732,35.37092605259065,5.601194593166416,0.9867762402382161
a,0.0,120.06119950711444,13.303186816505074,4.845432471924711,121.91119209804745,12.71985348317174,4.845290136425708,47.28005602134693,1.5747225896092043,0.9867762402382161
a,0.0,121.19942232070731,13.29461557207025,4.893398064914088,117.97267887604696,4.915542112760832,4.765752815492956,49.57849260412625,0.23778454703857696,0.9867762402382161
a,0.0,121.4040445885713,13.330214070464423,4.900427374931322,117.57321068741227,4.714519825651347,4.7119895987689535,49.924679514374766,0.033102524783307295,0.9867762402382161
a,0.0,111.36183088805873,4.943297216121207,3.4754051777154076,118.66751811233878,4.609963882787874,3.4369834563825945,12.390074322561395,4.056740989228061,0.9705391310160898
a,0.0,112.81040037428026,14.74155113232809,4.549170264989157,116.69748979773918,17.136821694255627,4.505128024999433,35.28582351797691,5.578121320777939,0.9705391310160898
a,0.0,119.97510276953385,19.195847624659237,4.84340340797915,119.44915799691896,14.612514291325903,4.821807895883122,47.18523533251841,1.5834443974897567,0.9705391310160898
a,0.0,121.15840664481381,18.71025696103054,4.8924184577256,114.6922539717972,5.373943616245389,4.657775089080942,49.530436958396024,0.24891807928088383,0.9705391310160898
a,0.0,121.40395835455665,17.95219596480059,4.900011172397975,114.61634075966087,4.252439708768581,4.597208286131474,49.90411794574867,0.03758053457136157,0.9705391310160898
a,0.05,86.28604228771182,5.19626740887676,3.476025541990063,88.2172471970423,5.090989649497041,3.4153107242383407,12.397448798304493,4.0641154649711595,0.9174146419343343
a,0.05,113.15642139293178,14.835388614564373,4.5575212212148895,176.17889295048002,53.31566176373206,3.133432434522316,35.57751762751666,5.7137653533991015,0.9174146419343343
a,0.05,120.6166189819899,14.89579441120207,4.871235348000043,122.99125009964968,15.662968163233145,4.869903945176841,48.502776685037624,1.8989215962842536,0.9174146419343343
a,0.05,122.5980420815003,11.198725894581704,4.948501528037332,124.44375985804503,12.539865657863148,4.942434864264376,52.35869039678022,0.6586368170764748,0.9174146419343343
a,0.05,123.54991941412348,16.239855911560927,4.988731908675469,125.72318852783803,8.498399744244495,4.879904018742633,54.48745961087871,0.4857471103486451,0.9174146419343343
a,0.05,86.28525717363047,3.28999794101945,3.475331975745648,88.06561157292977,3.2066646076861165,3.4303314011826007,12.389204448570283,4.055871115236948,0.8167942695285508
a,0.05,112.98513913399219,9.69946175468396,4.5569239580545915,117.59975567872624,14.442356461326185,4.46006559182623,35.556573445045515,5.739818963714517,0.8167942695285508
a,0.05,120.95064109149084,10.568479579560202,4.880765001774608,122.02943771294413,8.548571213526841,4.873996163233573,48.96239972099372,2.058720658941477,0.8167942695285508
a,0.05,123.02236144259518,9.370231110295384,4.9702207908999725,125.02812430066614,9.28689777696205,4.970209706915965,53.497312992543876,0.8304592022273217,0.8167942695285508
a,0.05,124.28582979453036,20.333442569377564,5.022796099332387,125.49741545536108,15.042822820304712,4.986824179170205,56.35812546307819,0.6764375047940424,0.8167942695285508
a,0.05,86.45003172781914,3.404085647003955,3.471448731216299,87.9308007189628,2.9874189803372886,3.4335066538232986,12.34315033396276,4.009817000629425,0.85951594035033
a,0.05,112.2192511285061,9.89047605322736,4.5246868054469775,115.33459471466219,11.448024432704246,4.504654513105178,34.44454510313949,5.3098645557363255,0.85951594035033
