census,METE_AIC,METE_MAE,METimE_AIC,METimE_MAE
1,233.83987766854574,0.6271186440677966,8.005261099122508,2.3389830508474576
2,222.15941993113253,0.75,166.8075850912104,1.5535714285714286
3,215.14330530488726,0.88,215.14330530488726,0.88
4,184.73949971751966,0.7333333333333333,212.96043173113577,0.9777777777777777
5,165.43653839382728,0.9,165.43653839382728,0.9
6,165.59404154437712,0.5897435897435898,165.59404154437712,0.5897435897435898
7,337.9626944496687,28.763157894736842,337.9626944496687,28.763157894736842
