species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dS,dN,dE
1145,45567,4,83.17440000000002,56,2,141,11178.417316666668,0.0,-16.914800000000014,-2.0,-7.0,13914.625304875282
1145,45567,5,66.2596,54,2,134,25093.04262154195,0.0,1.920808163265292,-3.0,-18.0,1911.2550532879832
1145,45567,6,68.1804081632653,51,2,116,27004.297674829933,0.0,2.379591836734704,-2.0,-6.0,1044.1554501700703
1145,45567,7,70.56,49,2,110,28048.453125000004,0.0,4.7823999999999955,5.0,8.0,4033.6315326530603
1145,45667,1,110.25,55,3,159,45818.241388888884,0.0,-42.1875,-1.0,-3.0,-23314.871666666662
1145,45667,2,68.0625,54,3,156,22503.36972222222,-1.0,17.80861111111112,5.0,-6.0,46284.53369444444
1145,45667,3,85.87111111111112,59,2,150,68787.90341666667,0.0,-11.48048611111112,-3.0,-9.0,-57609.4861
1145,45667,4,74.390625,56,2,141,11178.417316666668,0.0,-0.43062500000000625,-2.0,-7.0,13914.625304875282
1145,45667,5,73.96,54,2,134,25093.04262154195,0.0,9.945600000000013,-3.0,-18.0,1911.2550532879832
1145,45667,6,83.9056,51,2,116,27004.297674829933,0.0,-2.4549750000000046,-2.0,-6.0,1044.1554501700703
1145,45667,7,81.450625,49,2,110,28048.453125000004,0.0,20.55937499999999,5.0,8.0,4033.6315326530603
1163,45659,1,6.25,55,1,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
825,45557,1,81.0,55,1,159,45818.241388888884,0.0,33.48999999999998,-1.0,-3.0,-23314.871666666662
825,45557,2,114.48999999999998,54,1,156,22503.36972222222,0.0,49.35000000000005,5.0,-6.0,46284.53369444444
825,45557,3,163.84000000000003,59,1,150,68787.90341666667,0.0,10.399999999999949,-3.0,-9.0,-57609.4861
827,45628,1,6.25,55,1,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
827,45628,2,6.25,54,1,156,22503.36972222222,0.0,8.19,5.0,-6.0,46284.53369444444
827,45628,3,14.44,59,1,150,68787.90341666667,0.0,-1.4799999999999986,-3.0,-9.0,-57609.4861
827,45628,4,12.96,56,1,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
