census,species,n,N_t,S_t,dn,dN,dS
2,0,18.182383965585412,129.8720287354306,12,5.772170185954073,29.87202873543059,0
2,1,32.962994684093275,129.8720287354306,12,10.970314027718857,29.87202873543059,0
2,2,4.074790360812674,129.8720287354306,12,1.3210178794486134,29.87202873543059,0
2,3,28.420948096152987,129.8720287354306,12,8.817417193687533,29.87202873543059,0
2,4,6.89455362933454,129.8720287354306,12,0.6347739553176979,29.87202873543059,0
2,5,10.453683900153047,129.8720287354306,12,0.9695094266879654,29.87202873543059,0
2,6,5.838498185081279,129.8720287354306,12,0.5580764279245081,29.87202873543059,0
2,7,9.040165697608108,129.8720287354306,12,0.8359496821283301,29.87202873543059,0
2,8,3.114992066449149,129.8720287354306,12,-0.0016601987949038666,29.87202873543059,0
2,9,4.985886890747178,129.8720287354306,12,-0.0025005694526623046,29.87202873543059,0
2,10,1.4321350198806724,129.8720287354306,12,-0.0007387508056790892,29.87202873543059,0
2,11,4.470996239532271,129.8720287354306,12,-0.0023005243837337375,29.87202873543059,0
3,0,25.490867389283927,167.86944006558454,12,7.308483423698515,37.99741133015394,0
3,1,47.68721984894143,167.86944006558454,12,14.724225164848157,37.99741133015394,0
3,2,5.813995457545133,167.86944006558454,12,1.7392050967324586,37.99741133015394,0
3,3,39.34816287071329,167.86944006558454,12,10.927214774560301,37.99741133015394,0
3,4,7.590459590060905,167.86944006558454,12,0.6959059607263649,37.99741133015394,0
3,5,11.519605556517988,167.86944006558454,12,1.0659216563649405,37.99741133015394,0
3,6,6.464176715389586,167.86944006558454,12,0.6256785303083072,37.99741133015394,0
3,7,9.958204233515977,167.86944006558454,12,0.9180385359078684,37.99741133015394,0
3,8,3.113296890304118,167.86944006558454,12,-0.0016951761450307856,37.99741133015394,0
3,9,4.983388705738965,167.86944006558454,12,-0.002498185008213305,37.99741133015394,0
3,10,1.4313877509485196,167.86944006558454,12,-0.0007472689321528225,37.99741133015394,0
3,11,4.468675056624678,167.86944006558454,12,-0.002321182907593311,37.99741133015394,0
