census,species,n,N_t,S_t,dn,dN/S,dS
1,0,21.363940211542744,99.94020972684123,11,10.502278431769572,4.098631036704937,0
1,1,1.268607618308128,99.94020972684123,11,0.5990527402303492,4.098631036704937,0
1,2,0.0,99.94020972684123,11,-0.0,4.098631036704937,0
1,3,17.08408076729487,99.94020972684123,11,8.2844963245502,4.098631036704937,0
1,4,3.0134060028759158,99.94020972684123,11,1.466669725538352,4.098631036704937,0
1,5,2.0470046546248253,99.94020972684123,11,1.0626716817344168,4.098631036704937,0
1,6,10.999948093473375,99.94020972684123,11,5.496679996188028,4.098631036704937,0
1,7,6.010358118827748,99.94020972684123,11,2.914525140538716,4.098631036704937,0
1,8,19.195773810044557,99.94020972684123,11,9.52060747964224,4.098631036704937,0
1,9,8.181287432651779,99.94020972684123,11,4.191454062883274,4.098631036704937,0
1,10,2.687079974295077,99.94020972684123,11,1.3633883255244617,4.098631036704937,0
1,11,8.088723042902217,99.94020972684123,11,3.7817485318596535,4.098631036704937,0
2,0,31.866218643312315,149.12378216730048,11,13.540354840848167,5.3004765419438895,1
2,1,1.8676603585384772,149.12378216730048,11,0.7427538231484478,5.3004765419438895,1
2,2,0.0,149.12378216730048,11,0.1333974410841268,5.3004765419438895,1
2,3,25.368577091845072,149.12378216730048,11,10.544101962811038,5.3004765419438895,1
2,4,4.480075728414268,149.12378216730048,11,1.870896847747325,5.3004765419438895,1
2,5,3.109676336359242,149.12378216730048,11,1.4395946752296824,5.3004765419438895,1
2,6,16.496628089661403,149.12378216730048,11,7.191147536284337,5.3004765419438895,1
2,7,8.924883259366464,149.12378216730048,11,3.705284880196004,5.3004765419438895,1
2,8,28.716381289686797,149.12378216730048,11,12.375043320562963,5.3004765419438895,1
2,9,12.372741495535053,149.12378216730048,11,5.608744225635267,5.3004765419438895,1
2,10,4.0504682998195385,149.12378216730048,11,1.8098674422435979,5.3004765419438895,1
2,11,11.87047157476187,149.12378216730048,11,4.644531507535701,5.3004765419438895,1
3,0,45.40657348416048,212.72950067062715,12,15.774693839399724,6.174894027179448,0
3,1,2.610414181686925,212.72950067062715,12,0.8134040857788558,6.174894027179448,0
3,2,0.1333974410841268,212.72950067062715,12,0.05349430232391744,6.174894027179448,0
3,3,35.91267905465611,212.72950067062715,12,12.043474233024703,6.174894027179448,0
3,4,6.350972576161593,212.72950067062715,12,2.140199390501789,6.174894027179448,0
3,5,4.5492710115889246,212.72950067062715,12,1.8022522636737595,6.174894027179448,0
3,6,23.68777562594574,212.72950067062715,12,8.55572016391065,6.174894027179448,0
