species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,231946,1,9.0,60,1,198,11380.435555555556,0.0,-2.75,0.16666666666666666,-30.899238683127564
316,231856,1,1.0,60,4,198,11380.435555555556,2.0,0.0,0.16666666666666666,-30.899238683127564
316,231856,2,1.0,62,6,208,9526.481234567902,2.0,1.5600000000000005,-0.3548387096774194,20.174732148546383
316,231856,3,2.5600000000000005,59,8,186,10777.314627777778,1.0,1.0499999999999994,-0.3728813559322034,-4.8077290960452155
316,231856,4,3.61,50,9,164,10493.65861111111,1.0,1.2300000000000009,0.08,12.574427777777782
316,231856,5,4.840000000000001,48,10,168,11122.38,0.0,-0.8400000000000007,-0.3541666666666667,-0.3812697231670275
316,231958,1,1.0,60,4,198,11380.435555555556,2.0,0.0,0.16666666666666666,-30.899238683127564
316,231958,2,1.0,62,6,208,9526.481234567902,2.0,0.6900000000000002,-0.3548387096774194,20.174732148546383
316,231958,3,1.6900000000000002,59,8,186,10777.314627777778,1.0,0.2699999999999996,-0.3728813559322034,-4.8077290960452155
316,231958,4,1.9599999999999997,50,9,164,10493.65861111111,1.0,0.29000000000000026,0.08,12.574427777777782
316,231958,5,2.25,48,10,168,11122.38,0.0,0.9900000000000002,-0.3541666666666667,-0.3812697231670275
316,231958,6,3.24,41,10,151,11104.079053287982,-2.0,0.36999999999999966,-0.07317073170731707,9.20350464576076
316,231958,7,3.61,42,8,148,11481.422743764173,0.0,1.2300000000000009,0.19047619047619047,2.7392137728106936
316,232002,1,37.209999999999994,60,4,198,11380.435555555556,2.0,10.400000000000013,0.16666666666666666,-30.899238683127564
316,232002,2,47.61000000000001,62,6,208,9526.481234567902,2.0,-2.720000000000006,-0.3548387096774194,20.174732148546383
316,232002,3,44.89,59,8,186,10777.314627777778,1.0,-6.449999999999996,-0.3728813559322034,-4.8077290960452155
316,232002,4,38.440000000000005,50,9,164,10493.65861111111,1.0,7.79999999999999,0.08,12.574427777777782
316,232002,5,46.239999999999995,48,10,168,11122.38,0.0,1.3700000000000117,-0.3541666666666667,-0.3812697231670275
316,232002,6,47.61000000000001,41,10,151,11104.079053287982,-2.0,4.229999999999997,-0.07317073170731707,9.20350464576076
316,232002,7,51.84,42,8,148,11481.422743764173,0.0,4.409999999999997,0.19047619047619047,2.7392137728106936
316,232019,1,2.25,60,4,198,11380.435555555556,2.0,0.0,0.16666666666666666,-30.899238683127564
316,236089,2,1.0,62,6,208,9526.481234567902,2.0,0.9599999999999997,-0.3548387096774194,20.174732148546383
316,236089,3,1.9599999999999997,59,8,186,10777.314627777778,1.0,1.6500000000000001,-0.3728813559322034,-4.8077290960452155
316,236089,4,3.61,50,9,164,10493.65861111111,1.0,4.229999999999999,0.08,12.574427777777782
316,236089,5,7.839999999999999,48,10,168,11122.38,0.0,3.05,-0.3541666666666667,-0.3812697231670275
316,236089,6,10.889999999999999,41,10,151,11104.079053287982,-2.0,2.8000000000000025,-0.07317073170731707,9.20350464576076
