species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
84,456218,7,1.9599999999999997,55,1,159,14949.082955555556,0.0,2.04,0.05454545454545454,10.802478787878798
964,223506,1,44.89,59,1,180,9158.860625,0.0,2.720000000000006,0.2711864406779661,27.60817208097929
964,223506,2,47.61000000000001,62,1,196,10787.742777777778,0.0,-2.720000000000006,0.11290322580645161,26.574166666666667
49,223499,1,1.0,59,1,180,9158.860625,0.0,0.0,0.2711864406779661,27.60817208097929
49,223499,2,1.0,62,1,196,10787.742777777778,0.0,0.2100000000000002,0.11290322580645161,26.574166666666667
316,223401,1,2.25,59,11,180,9158.860625,2.0,0.0,0.2711864406779661,27.60817208097929
316,223401,2,2.25,62,13,196,10787.742777777778,4.0,-0.42749999999999977,0.11290322580645161,26.574166666666667
316,223401,3,1.8225000000000002,62,17,203,12435.34111111111,-8.0,0.2799999999999998,-0.5483870967741935,-8.436227598566303
316,223401,4,2.1025,61,9,169,11912.295,-1.0,0.45750000000000046,0.639344262295082,15.151561930783247
316,223401,5,2.5600000000000005,60,8,208,12836.540277777778,0.0,0.0,-0.65,39.33684259259259
316,223401,6,2.5600000000000005,60,8,169,15196.750833333334,2.0,0.5024999999999995,-0.16666666666666666,-4.127797962962965
316,223401,7,3.0625,55,10,159,14949.082955555556,3.0,0.9375,0.05454545454545454,10.802478787878798
316,223404,1,6.25,59,11,180,9158.860625,2.0,0.0,0.2711864406779661,27.60817208097929
316,223404,2,6.25,62,13,196,10787.742777777778,4.0,14.0,0.11290322580645161,26.574166666666667
316,223404,3,20.25,62,17,203,12435.34111111111,-8.0,23.309999999999995,-0.5483870967741935,-8.436227598566303
316,223404,4,43.559999999999995,61,9,169,11912.295,-1.0,0.0,0.639344262295082,15.151561930783247
316,223404,5,43.559999999999995,60,8,208,12836.540277777778,0.0,11.20000000000001,-0.65,39.33684259259259
316,223404,6,54.760000000000005,60,8,169,15196.750833333334,2.0,14.13000000000001,-0.16666666666666666,-4.127797962962965
316,223404,7,68.89000000000001,55,10,159,14949.082955555556,3.0,8.549999999999997,0.05454545454545454,10.802478787878798
316,223406,1,4.0,59,11,180,9158.860625,2.0,0.0,0.2711864406779661,27.60817208097929
316,223406,2,4.0,62,13,196,10787.742777777778,4.0,4.41,0.11290322580645161,26.574166666666667
316,223407,1,47.61000000000001,59,11,180,9158.860625,2.0,8.639999999999993,0.2711864406779661,27.60817208097929
316,223407,2,56.25,62,13,196,10787.742777777778,4.0,9.36,0.11290322580645161,26.574166666666667
316,223429,1,6.25,59,11,180,9158.860625,2.0,-2.25,0.2711864406779661,27.60817208097929
316,223429,2,4.0,62,13,196,10787.742777777778,4.0,3.290000000000001,0.11290322580645161,26.574166666666667
316,223429,3,7.290000000000001,62,17,203,12435.34111111111,-8.0,-1.5300000000000011,-0.5483870967741935,-8.436227598566303
316,223434,1,20.25,59,11,180,9158.860625,2.0,0.0,0.2711864406779661,27.60817208097929
316,223434,2,20.25,62,13,196,10787.742777777778,4.0,1.8400000000000034,0.11290322580645161,26.574166666666667
