census,species,n,N_t,S_t,dn,dN,dS
1,0,21.674824020843012,227.40550716986857,7,7.184165854679229,47.171095593579,0
1,1,42.77746789874346,227.40550716986857,7,17.97638785930802,47.171095593579,0
1,2,43.343226364809034,227.40550716986857,7,13.271130034039153,47.171095593579,0
1,3,22.954831686227113,227.40550716986857,7,8.787817655482954,47.171095593579,0
1,4,52.526606155890555,227.40550716986857,7,-0.02635071499283015,47.171095593579,0
1,5,0.0,227.40550716986857,7,-0.0,47.171095593579,0
1,6,0.0,227.40550716986857,7,-0.0,47.171095593579,0
1,7,0.0,227.40550716986857,7,-0.0,47.171095593579,0
1,8,0.0,227.40550716986857,7,-0.0,47.171095593579,0
1,9,11.66497605711273,227.40550716986857,7,-0.005835790012696407,47.171095593579,0
1,10,0.0,227.40550716986857,7,-0.0,47.171095593579,0
1,11,32.463574986242655,227.40550716986857,7,-0.01621930492480317,47.171095593579,0
2,0,28.85898987552224,274.57660276344757,7,7.088508584589739,49.54361370574259,0
2,1,60.75385575805148,274.57660276344757,7,20.759743396172773,49.54361370574259,0
2,2,56.61435639884819,274.57660276344757,7,11.965437847077851,49.54361370574259,0
2,3,31.742649341710067,274.57660276344757,7,9.778305424517871,49.54361370574259,0
2,4,52.500255440897725,274.57660276344757,7,-0.026337461838210174,49.54361370574259,0
2,5,0.0,274.57660276344757,7,-0.0,49.54361370574259,0
2,6,0.0,274.57660276344757,7,-0.0,49.54361370574259,0
2,7,0.0,274.57660276344757,7,-0.0,49.54361370574259,0
2,8,0.0,274.57660276344757,7,-0.0,49.54361370574259,0
2,9,11.659140267100033,274.57660276344757,7,-0.005832871027724451,49.54361370574259,0
2,10,0.0,274.57660276344757,7,-0.0,49.54361370574259,0
2,11,32.44735568131785,274.57660276344757,7,-0.016211213749748765,49.54361370574259,0
3,0,35.94749846011198,324.12021646919015,7,6.004065511633797,46.32094067897219,0
3,1,81.51359915422425,324.12021646919015,7,21.868768924746405,46.32094067897219,0
3,2,68.57979424592604,324.12021646919015,7,8.57868492201456,46.32094067897219,0
3,3,41.52095476622794,324.12021646919015,7,9.917778616061966,46.32094067897219,0
3,4,52.473917979059514,324.12021646919015,7,-0.026324215383375815,46.32094067897219,0
3,5,0.0,324.12021646919015,7,-0.0,46.32094067897219,0
3,6,0.0,324.12021646919015,7,-0.0,46.32094067897219,0
3,7,0.0,324.12021646919015,7,-0.0,46.32094067897219,0
3,8,0.0,324.12021646919015,7,-0.0,46.32094067897219,0
3,9,11.653307396072309,324.12021646919015,7,-0.005829953502203722,46.32094067897219,0
3,10,0.0,324.12021646919015,7,-0.0,46.32094067897219,0
3,11,32.4311444675681,324.12021646919015,7,-0.016203126598917095,46.32094067897219,0
4,0,41.95156397174578,370.44115714816235,7,4.268890793990181,38.97521281011814,0
4,1,103.38236807897066,370.44115714816235,7,21.29195719853945,38.97521281011814,0
4,2,77.1584791679406,370.44115714816235,7,4.1536541502253215,38.97521281011814,0
4,3,51.438733382289904,370.44115714816235,7,9.309043723893737,38.97521281011814,0
4,4,52.44759376367614,370.44115714816235,7,-0.026310975624859623,38.97521281011814,0
4,5,0.0,370.44115714816235,7,-0.0,38.97521281011814,0
4,6,0.0,370.44115714816235,7,-0.0,38.97521281011814,0
4,7,0.0,370.44115714816235,7,-0.0,38.97521281011814,0
4,8,0.0,370.44115714816235,7,-0.0,38.97521281011814,0
4,9,11.647477442570105,370.44115714816235,7,-0.005827037435405913,38.97521281011814,0
4,10,0.0,370.44115714816235,7,-0.0,38.97521281011814,0
4,11,32.414941340969186,370.44115714816235,7,-0.016195043470304427,38.97521281011814,0
5,0,46.22045476573596,409.4163699582805,7,2.4055573557217187,30.25113820637415,0
5,1,124.6743252775101,409.4163699582805,7,19.614643658203235,30.25113820637415,0
5,2,81.31213331816592,409.4163699582805,7,-0.025238154989665418,30.25113820637415,0
5,3,60.74777710618364,409.4163699582805,7,8.304484177186673,30.25113820637415,0
5,4,52.42128278805128,409.4163699582805,7,-0.026297742559265203,30.25113820637415,0
5,5,0.0,409.4163699582805,7,-0.0,30.25113820637415,0
5,6,0.0,409.4163699582805,7,-0.0,30.25113820637415,0
5,7,0.0,409.4163699582805,7,-0.0,30.25113820637415,0
5,8,0.0,409.4163699582805,7,-0.0,30.25113820637415,0
5,9,11.6416504051347,409.4163699582805,7,-0.005824122826602718,30.25113820637415,0
5,10,0.0,409.4163699582805,7,-0.0,30.25113820637415,0
5,11,32.39874629749888,409.4163699582805,7,-0.016186964361928347,30.25113820637415,0
6,0,48.62601212145768,439.66750816465463,7,0.7922357315036166,22.30906641733702,0
6,1,144.28896893571334,439.66750816465463,7,17.53424925086648,22.30906641733702,0
6,2,81.28689516317625,439.66750816465463,7,-3.2200481828941605,22.30906641733702,0
6,3,69.05226128337031,439.66750816465463,7,7.250914232991121,22.30906641733702,0
6,4,52.394985045492014,439.66750816465463,7,-0.026284516183160633,22.30906641733702,0
6,5,0.0,439.66750816465463,7,-0.0,22.30906641733702,0
6,6,0.0,439.66750816465463,7,-0.0,22.30906641733702,0
6,7,0.0,439.66750816465463,7,-0.0,22.30906641733702,0
6,8,0.0,439.66750816465463,7,-0.0,22.30906641733702,0
6,9,11.635826282308097,439.66750816465463,7,-0.005821209675062278,22.30906641733702,0
6,10,0.0,439.66750816465463,7,-0.0,22.30906641733702,0
6,11,32.38255933313695,439.66750816465463,7,-0.01617888927182065,22.30906641733702,0
7,0,49.418247852961294,461.97657458199166,7,-0.3966365918390551,16.268415215448954,0
