species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,204962,1,2.25,58,1,170,24639.912253086422,0.0,-1.25,0.10344827586206896,-90.44353673903794
966,204962,2,1.0,59,1,176,19394.18712222222,0.0,0.9599999999999997,0.2711864406779661,114.98381172316387
316,204887,1,16.0,58,5,170,24639.912253086422,0.0,0.0,0.10344827586206896,-90.44353673903794
316,204887,2,16.0,59,5,176,19394.18712222222,4.0,4.25,0.2711864406779661,114.98381172316387
316,204887,3,20.25,58,9,192,26178.23201388889,0.0,0.0,-0.13793103448275862,-59.59142763409965
316,204887,4,20.25,52,9,184,22721.92921111111,-1.0,3.760000000000005,-0.11538461538461539,-233.28361175213675
316,204939,1,2.25,58,5,170,24639.912253086422,0.0,0.0,0.10344827586206896,-90.44353673903794
316,204939,2,2.25,59,5,176,19394.18712222222,4.0,0.9900000000000002,0.2711864406779661,114.98381172316387
316,204939,3,3.24,58,9,192,26178.23201388889,0.0,0.0,-0.13793103448275862,-59.59142763409965
316,204939,4,3.24,52,9,184,22721.92921111111,-1.0,0.0,-0.11538461538461539,-233.28361175213675
316,204939,5,3.24,51,8,178,10591.1814,0.0,-0.9900000000000002,0.6078431372549019,9.494555010893237
316,204939,6,2.25,57,8,209,11075.403705555555,-2.0,0.0,-0.5789473684210527,9.48905799220276
316,205009,1,16.0,58,5,170,24639.912253086422,0.0,-3.75,0.10344827586206896,-90.44353673903794
316,205015,1,1.0,58,5,170,24639.912253086422,0.0,0.0,0.10344827586206896,-90.44353673903794
316,205015,2,1.0,59,5,176,19394.18712222222,4.0,1.5600000000000005,0.2711864406779661,114.98381172316387
316,205015,3,2.5600000000000005,58,9,192,26178.23201388889,0.0,0.6799999999999997,-0.13793103448275862,-59.59142763409965
316,273756,3,1.0,58,9,192,26178.23201388889,0.0,0.0,-0.13793103448275862,-59.59142763409965
316,273756,4,1.0,52,9,184,22721.92921111111,-1.0,0.2100000000000002,-0.11538461538461539,-233.28361175213675
316,273756,5,1.2100000000000002,51,8,178,10591.1814,0.0,0.22999999999999976,0.6078431372549019,9.494555010893237
316,273759,3,1.2100000000000002,58,9,192,26178.23201388889,0.0,-0.2100000000000002,-0.13793103448275862,-59.59142763409965
316,273759,4,1.0,52,9,184,22721.92921111111,-1.0,0.2100000000000002,-0.11538461538461539,-233.28361175213675
316,273759,5,1.2100000000000002,51,8,178,10591.1814,0.0,0.48,0.6078431372549019,9.494555010893237
316,273759,6,1.6900000000000002,57,8,209,11075.403705555555,-2.0,0.8700000000000003,-0.5789473684210527,9.48905799220276
