census,species,n,N_t,S_t,dn,dN,dS
2,0,14.22087500902977,121.62767905708685,12,4.908443162464399,21.62767905708685,0
2,1,22.78454397891154,121.62767905708685,12,7.610649406460066,21.62767905708685,0
2,2,10.916783131031435,121.62767905708685,12,3.653824060781483,21.62767905708685,0
2,3,3.294030203349273,121.62767905708685,12,1.1359266821952079,21.62767905708685,0
2,4,16.666315939186866,121.62767905708685,12,1.472961806868959,21.62767905708685,0
2,5,9.899862277135647,121.62767905708685,12,0.9346889135865464,21.62767905708685,0
2,6,17.410848703190833,121.62767905708685,12,1.6214558123190965,21.62767905708685,0
2,7,3.235782640150381,121.62767905708685,12,0.30126515274153753,21.62767905708685,0
2,8,3.5648637832385726,121.62767905708685,12,-0.0017738560584845686,21.62767905708685,0
2,9,6.8691886527439365,121.62767905708685,12,-0.003393092497354644,21.62767905708685,0
2,10,7.061291363447175,121.62767905708685,12,-0.003551350208049975,21.62767905708685,0
2,11,5.703293375671416,121.62767905708685,12,-0.0028176415665699395,21.62767905708685,0
3,0,21.13629826751684,150.3117922968289,12,6.915423258487069,28.68411323974206,0
3,1,33.22574061818324,150.3117922968289,12,10.441196639271698,28.68411323974206,0
3,2,15.86991158240149,150.3117922968289,12,4.9531284513700555,28.68411323974206,0
3,3,4.899873689447869,150.3117922968289,12,1.6058434860985957,28.68411323974206,0
3,4,18.270098596287003,150.3117922968289,12,1.6037826571001368,28.68411323974206,0
3,5,10.937853717111176,150.3117922968289,12,1.0379914399755297,28.68411323974206,0
3,6,19.2151447964901,150.3117922968289,12,1.8042960932992678,28.68411323974206,0
3,7,3.569762041223312,150.3117922968289,12,0.3339794010729311,28.68411323974206,0
3,8,3.5630904889683146,150.3117922968289,12,-0.0017732942702579635,28.68411323974206,0
3,9,6.865799466917115,150.3117922968289,12,-0.0033891858268217945,28.68411323974206,0
3,10,7.057739111220873,150.3117922968289,12,-0.003552252226302066,28.68411323974206,0
3,11,5.700479921061562,150.3117922968289,12,-0.0028134546098543822,28.68411323974206,0
4,0,30.295082797064815,186.47764187110786,12,9.158784529547976,36.16584957427895,0
4,1,46.615428560484915,186.47764187110786,12,13.389687942301677,36.16584957427895,0
4,2,22.07191423335719,186.47764187110786,12,6.2020026509557,36.16584957427895,0
4,3,7.042618059415973,186.47764187110786,12,2.1427443699681037,36.16584957427895,0
4,4,20.012073734900465,186.47764187110786,12,1.741975138613462,36.16584957427895,0
4,5,12.093003154609129,186.47764187110786,12,1.1551494374979523,36.16584957427895,0
4,6,21.231028021406885,186.47764187110786,12,2.0158832249167844,36.16584957427895,0
4,7,3.940904605913257,186.47764187110786,12,0.3711425646899449,36.16584957427895,0
4,8,3.561317747816305,186.47764187110786,12,-0.0017727411520094272,36.16584957427895,0
4,9,6.862414412135809,186.47764187110786,12,-0.0033850547813054632,36.16584957427895,0
4,10,7.054185591662588,186.47764187110786,12,-0.003553519558285423,36.16584957427895,0
4,11,5.697670952340522,186.47764187110786,12,-0.002808968721040195,36.16584957427895,0
5,0,41.52528074710195,228.94595683447488,12,11.230197950037137,42.46831496336702,0
5,1,62.36316197219478,228.94595683447488,12,15.747733411709866,42.46831496336702,0
5,2,29.059097429749194,228.94595683447488,12,6.987183196392003,42.46831496336702,0
5,3,9.70686277291472,228.94595683447488,12,2.6642447134987473,42.46831496336702,0
5,4,21.89931420079726,228.94595683447488,12,1.8872404658967952,42.46831496336702,0
5,5,13.381251233176918,228.94595683447488,12,1.28824807856779,42.46831496336702,0
5,6,23.49255537071446,228.94595683447488,12,2.261527349307574,42.46831496336702,0
5,7,4.354356631041999,228.94595683447488,12,0.41345202512874213,42.46831496336702,0
5,8,3.5595455597179555,228.94595683447488,12,-0.0017721880983496696,42.46831496336702,0
5,9,6.859033739777938,228.94595683447488,12,-0.003380672357871539,42.46831496336702,0
5,10,7.050630365954101,228.94595683447488,12,-0.0035552257084869865,42.46831496336702,0
5,11,5.694866811333613,228.94595683447488,12,-0.0028041410069086226,42.46831496336702,0
6,0,54.12727019069498,274.6479646391971,12,12.601989443593027,45.7020078047222,0
6,1,79.04770643802908,274.6479646391971,12,16.6845444658343,45.7020078047222,0
6,2,35.9383935520289,274.6479646391971,12,6.879296122279705,45.7020078047222,0
6,3,12.768743914161258,274.6479646391971,12,3.0618811412465377,45.7020078047222,0
