species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
316,231467,1,37.209999999999994,62,7,155,6960.764066666667,1.0,3.750000000000014,0.22580645161290322,30.708809856630833
316,231467,2,40.96000000000001,61,8,169,8864.710277777778,-1.0,0.0,0.21311475409836064,3.360629553734054
316,231467,3,40.96000000000001,61,7,182,9069.708680555555,1.0,-1.2700000000000102,-0.04918032786885246,14.48705231682837
316,231467,4,39.69,59,8,179,9953.418871882086,0.0,0.0,-0.1694915254237288,8.216382409249029
316,231505,1,1.0,62,7,155,6960.764066666667,1.0,0.0,0.22580645161290322,30.708809856630833
316,231505,2,1.0,61,8,169,8864.710277777778,-1.0,0.2100000000000002,0.21311475409836064,3.360629553734054
316,231505,3,1.2100000000000002,61,7,182,9069.708680555555,1.0,1.3500000000000003,-0.04918032786885246,14.48705231682837
316,231505,4,2.5600000000000005,59,8,179,9953.418871882086,0.0,0.3299999999999992,-0.1694915254237288,8.216382409249029
316,231505,5,2.8899999999999997,57,8,169,10438.185434027779,0.0,1.950000000000001,0.08771929824561403,25.91342412399494
316,231505,6,4.840000000000001,58,8,174,11915.25060909549,3.0,1.4099999999999993,0.08620689655172414,22.442930111380427
316,231505,7,6.25,59,11,179,13216.940555555555,1.0,0.0,-0.1694915254237288,-18.07612121910911
316,231511,1,2.25,62,7,155,6960.764066666667,1.0,1.75,0.22580645161290322,30.708809856630833
316,231521,1,2.25,62,7,155,6960.764066666667,1.0,0.0,0.22580645161290322,30.708809856630833
316,231521,2,2.25,61,8,169,8864.710277777778,-1.0,1.1725000000000003,0.21311475409836064,3.360629553734054
316,231521,3,3.4225000000000003,61,7,182,9069.708680555555,1.0,2.8274999999999997,-0.04918032786885246,14.48705231682837
316,231521,4,6.25,59,8,179,9953.418871882086,0.0,3.360000000000001,-0.1694915254237288,8.216382409249029
316,231521,5,9.610000000000001,57,8,169,10438.185434027779,0.0,-1.4875000000000007,0.08771929824561403,25.91342412399494
316,231521,6,8.1225,58,8,174,11915.25060909549,3.0,1.799999999999999,0.08620689655172414,22.442930111380427
316,231521,7,9.9225,59,11,179,13216.940555555555,1.0,0.6400000000000006,-0.1694915254237288,-18.07612121910911
316,231555,1,1.7777777777777781,62,7,155,6960.764066666667,1.0,0.0,0.22580645161290322,30.708809856630833
316,231595,1,1.0,62,7,155,6960.764066666667,1.0,0.0,0.22580645161290322,30.708809856630833
316,231595,2,1.0,61,8,169,8864.710277777778,-1.0,1.25,0.21311475409836064,3.360629553734054
316,231595,3,2.25,61,7,182,9069.708680555555,1.0,0.3100000000000005,-0.04918032786885246,14.48705231682837
316,231595,4,2.5600000000000005,59,8,179,9953.418871882086,0.0,1.8499999999999996,-0.1694915254237288,8.216382409249029
316,231595,5,4.41,57,8,169,10438.185434027779,0.0,1.8399999999999999,0.08771929824561403,25.91342412399494
316,231595,6,6.25,58,8,174,11915.25060909549,3.0,1.040000000000001,0.08620689655172414,22.442930111380427
316,231595,7,7.290000000000001,59,11,179,13216.940555555555,1.0,-3.290000000000001,-0.1694915254237288,-18.07612121910911
316,235528,2,1.0,61,8,169,8864.710277777778,-1.0,0.6900000000000002,0.21311475409836064,3.360629553734054
316,235528,3,1.6900000000000002,61,7,182,9069.708680555555,1.0,0.2699999999999996,-0.04918032786885246,14.48705231682837
316,235528,4,1.9599999999999997,59,8,179,9953.418871882086,0.0,0.6000000000000008,-0.1694915254237288,8.216382409249029
316,235528,5,2.5600000000000005,57,8,169,10438.185434027779,0.0,2.2800000000000002,0.08771929824561403,25.91342412399494
316,235528,6,4.840000000000001,58,8,174,11915.25060909549,3.0,0.4499999999999984,0.08620689655172414,22.442930111380427
316,235528,7,5.289999999999999,59,11,179,13216.940555555555,1.0,1.4700000000000015,-0.1694915254237288,-18.07612121910911
316,236094,2,1.0,61,8,169,8864.710277777778,-1.0,1.25,0.21311475409836064,3.360629553734054
316,236094,3,2.25,61,7,182,9069.708680555555,1.0,1.1725000000000003,-0.04918032786885246,14.48705231682837
316,236094,4,3.4225000000000003,59,8,179,9953.418871882086,0.0,0.5774999999999997,-0.1694915254237288,8.216382409249029
316,236094,5,4.0,57,8,169,10438.185434027779,0.0,0.8400000000000007,0.08771929824561403,25.91342412399494
316,236094,6,4.840000000000001,58,8,174,11915.25060909549,3.0,0.6825000000000001,0.08620689655172414,22.442930111380427
316,236094,7,5.522500000000001,59,11,179,13216.940555555555,1.0,0.9799999999999986,-0.1694915254237288,-18.07612121910911
316,268598,3,1.0,61,7,182,9069.708680555555,1.0,0.6900000000000002,-0.04918032786885246,14.48705231682837
316,268598,4,1.6900000000000002,59,8,179,9953.418871882086,0.0,1.9199999999999997,-0.1694915254237288,8.216382409249029
316,268598,5,3.61,57,8,169,10438.185434027779,0.0,0.8000000000000003,0.08771929824561403,25.91342412399494
316,268598,6,4.41,58,8,174,11915.25060909549,3.0,1.8399999999999999,0.08620689655172414,22.442930111380427
316,268598,7,6.25,59,11,179,13216.940555555555,1.0,3.990000000000002,-0.1694915254237288,-18.07612121910911
316,305848,4,1.0,59,8,179,9953.418871882086,0.0,1.25,-0.1694915254237288,8.216382409249029
316,305848,5,2.25,57,8,169,10438.185434027779,0.0,0.6399999999999997,0.08771929824561403,25.91342412399494
316,305848,6,2.8899999999999997,58,8,174,11915.25060909549,3.0,0.7200000000000002,0.08620689655172414,22.442930111380427
316,305848,7,3.61,59,11,179,13216.940555555555,1.0,4.229999999999999,-0.1694915254237288,-18.07612121910911
316,344956,6,1.0,58,8,174,11915.25060909549,3.0,0.43999999999999995,0.08620689655172414,22.442930111380427
316,344956,7,1.44,59,11,179,13216.940555555555,1.0,0.0,-0.1694915254237288,-18.07612121910911
316,455165,7,1.44,59,11,179,13216.940555555555,1.0,0.81,-0.1694915254237288,-18.07612121910911
316,455172,7,1.0,59,11,179,13216.940555555555,1.0,0.9599999999999997,-0.1694915254237288,-18.07612121910911
316,455178,7,1.2100000000000002,59,11,179,13216.940555555555,1.0,1.0399999999999998,-0.1694915254237288,-18.07612121910911
1575,231486,1,36.0,62,4,155,6960.764066666667,0.0,-3.509999999999998,0.22580645161290322,30.708809856630833
1575,231486,2,32.49,61,4,169,8864.710277777778,1.0,1.1499999999999986,0.21311475409836064,3.360629553734054
1575,231486,3,33.64,61,5,182,9069.708680555555,-2.0,-16.830000000000002,-0.04918032786885246,14.48705231682837
1575,231486,4,16.81,59,3,179,9953.418871882086,0.0,2.9925000000000033,-0.1694915254237288,8.216382409249029
1575,231486,5,19.802500000000002,57,3,169,10438.185434027779,1.0,0.447499999999998,0.08771929824561403,25.91342412399494
1575,231486,6,20.25,58,4,174,11915.25060909549,0.0,25.989999999999995,0.08620689655172414,22.442930111380427
1575,231522,1,204.49,62,4,155,6960.764066666667,0.0,2.8700000000000045,0.22580645161290322,30.708809856630833
1575,231522,2,207.36,61,4,169,8864.710277777778,1.0,8.729999999999961,0.21311475409836064,3.360629553734054
1575,231522,3,216.08999999999997,61,5,182,9069.708680555555,-2.0,11.920000000000016,-0.04918032786885246,14.48705231682837
1575,231522,4,228.01,59,3,179,9953.418871882086,0.0,6.080000000000041,-0.1694915254237288,8.216382409249029
1575,231522,5,234.09000000000003,57,3,169,10438.185434027779,1.0,15.549999999999983,0.08771929824561403,25.91342412399494
1575,231522,6,249.64000000000001,58,4,174,11915.25060909549,0.0,19.319999999999965,0.08620689655172414,22.442930111380427
1575,231522,7,268.96,59,4,179,13216.940555555555,-2.0,20.04000000000002,-0.1694915254237288,-18.07612121910911
1575,231543,1,1.0,62,4,155,6960.764066666667,0.0,0.0,0.22580645161290322,30.708809856630833
1575,231543,2,1.0,61,4,169,8864.710277777778,1.0,2.24,0.21311475409836064,3.360629553734054
1575,231543,6,2.25,58,4,174,11915.25060909549,0.0,5.589999999999999,0.08620689655172414,22.442930111380427
1575,231543,7,7.839999999999999,59,4,179,13216.940555555555,-2.0,-4.949999999999999,-0.1694915254237288,-18.07612121910911
1575,231550,1,3.0625,62,4,155,6960.764066666667,0.0,0.9375,0.22580645161290322,30.708809856630833
1575,231550,2,4.0,61,4,169,8864.710277777778,1.0,1.7599999999999998,0.21311475409836064,3.360629553734054
1575,231550,3,5.76,61,5,182,9069.708680555555,-2.0,3.24,-0.04918032786885246,14.48705231682837
1575,231550,4,9.0,59,3,179,9953.418871882086,0.0,-4.3775,-0.1694915254237288,8.216382409249029
1575,231550,5,4.6225,57,3,169,10438.185434027779,1.0,6.267499999999999,0.08771929824561403,25.91342412399494
1575,231550,6,10.889999999999999,58,4,174,11915.25060909549,0.0,0.0,0.08620689655172414,22.442930111380427
1139,231583,1,98.01,62,1,155,6960.764066666667,0.0,22.989999999999995,0.22580645161290322,30.708809856630833
1139,231583,2,121.0,61,1,169,8864.710277777778,0.0,6.690000000000012,0.21311475409836064,3.360629553734054
1139,231583,3,127.69000000000001,61,1,182,9069.708680555555,0.0,13.920000000000002,-0.04918032786885246,14.48705231682837
