census,METE_AIC,METE_MAE,METimE_AIC,METimE_MAE,r2_dn,r2_de
0,350.42416740597577,0.22608695652173913,365.10909759409196,0.9565217391304348,0.2998395043308134,0.9999961385372969
6,531.7823478681175,0.2661290322580645,532.4372047807301,0.5725806451612904,0.2998395043308134,0.9999961385372969
12,624.7287865674713,1.0458015267175573,605.6507870582816,0.5572519083969466,0.2998395043308134,0.9999961385372969
19,661.9947359609054,1.27007299270073,639.3730001209669,0.9051094890510949,0.2998395043308134,0.9999961385372969
